Title,Artist,Score,Last_Rank,Last_Number,On_Chart,Unique_id
KICK BACK,米津玄師,0.0,10,2132,22,004b004900437c736d257384
ツキヨミ,King & Prince,0.0,18,2133,14,30c430ad30e8004b0069006e
subtitle,Official髭男dism,0.0,19,2166,30,007300750062004f00660066
ここにはないもの,乃木坂46,0.0,17,2125,8,30533053306b4e4367285742
新時代 (ウタ from ONE PIECE FILM RED),Ado,0.0,3,2196,3,65b066424ee300410064006f
怪獣の花唄,Vaundy,0.0,17,2136,16,602a7363306e005600610075
第ゼロ感,10-FEET,0.0,19,2144,27,7b2c30bc30ed00310030002d
ハッピーサプライズ,なにわ男子,0.0,16,2124,10,30cf30c330d4306a306b308f
久しぶりのリップグロス,AKB48,0.0,14,2122,4,4e45305730760041004b0042
祝福,YOASOBI,0.0,16,2125,18,795d798f0059004f0041
Blue Moon,NiziU,0.0,14,2127,4,0042006c0075004e0069007a
倶に,中島みゆき,0.0,13,2122,4,5036306b4e2d5cf6307f
渡り鳥たちに空は見えない,NGT48,0.0,13,2120,1,6e21308a9ce5004e00470054
アイラブユー,back number,0.0,12,2131,15,30a230a430e9006200610063
想花,Kis-My-Ft2,0.0,15,2121,3,60f382b1004b00690073
この宇宙の片隅で,三代目J SOUL BROTHERS from EXILE TRIBE,0.0,16,2120,1,3053306e5b874e094ee376ee
Stardom,King Gnu,0.0,17,2119,5,005300740061004b0069006e
スターマイン,Da-iCE,0.0,18,2120,3,30b930bf30fc00440061002d
SOUVENIR,BUMP OF CHICKEN,0.0,18,2135,2,0053004f005500420055004d
Hunter,LIL LEAGUE from EXILE TRIBE,0.0,15,2123,3,00480075006e004c0049004c
ホワイトノイズ,Official髭男dism,0.0,16,2128,8,30db30ef30a4004f00660066
The Practice of Love,WATWING,0.0,11,2121,1,005400680065005700410054
僕のこと,Mrs.GREEN APPLE,0.0,14,2121,1,50d5306e3053004d00720073
escalate,Aimer,0.0,2,2128,1,00650073006300410069006d
Overdose,なとり,0.0,19,2122,13,004f00760065306a3068308a
まぶた,Vaundy,0.0,19,2121,1,307e3076305f005600610075
The Story of Us,Kinki Kids,0.0,19,2127,6,005400680065004b0069006e
BETTING,香取慎吾×SEVENTEEN,0.0,11,2122,1,004200450054999953d6614e
ビリミリオン,優里,0.0,19,2131,3,30d330ea30df512a91cc
MOONLIGHT SUNRISE,TWICE,0.0,18,2124,3,004d004f004f005400570049
Swing Swing,モーニング娘’22,0.0,18,2122,1,00530077006930e230fc30cb
変幻自在,PENGUIN RESEARCH,0.0,19,2122,1,59095e7b81ea00500045004e
FEARLESS,LE SSERAFIM,0.0,16,2130,7,004600450041004c00450020
BANTAM,稲葉浩志,0.0,19,2124,2,00420041004e7a3284496d69
Bouquet,MOMO SANA MINA,0.0,18,2123,1,0042006f0075004d004f004d
STARS,三代目 J SOUL BROTHERS from EXLE TRIBE,0.0,14,2130,4,0053005400414e094ee376ee
夜空を翔ける,ケツメイシ,0.0,6,2124,1,591c7a7a309230b130c430e1
PARALLEL PARALLEL,東方神起,0.0,9,2124,1,005000410052677165b9795e
New Day,INI,0.0,10,2124,1,004e006500770049004e0049
君はもっとできる,HKT48,0.0,17,2146,5,541b306f30820048004b0054
Best Friend Ever,NCT DREAM,0.0,19,2129,1,004200650073004e00430054
星月夜,由薫,0.0,13,2131,7,661f6708591c753185ab
だってめぐり逢えたんだ,純烈,0.0,19,2153,3,3060306330667d1470c8
アルジャーノン,ヨルシカ,0.0,7,2131,7,30a230eb30b830e830eb30b7
Romance,JO1,0.0,15,2125,1,0052006f006d004a004f0031
桜月,櫻坂46,0.0,8,2129,4,685c67086afb57420034
Boom Boom Back,BE:FIRST,0.0,13,2127,2,0042006f006f00420045003a
HC 2023 episode 1 -THE GHOST/限界突破-,GLAY,0.0,8,2126,1,0048004300200047004c0041
アドベンチャー,YOASOBI,0.0,15,2128,3,30a230c930d90059004f0041
恋人じゃなくなった日,優里,0.0,14,2126,1,604b4eba3058512a91cc
僕たちのサヨナラ,乃木坂46,0.0,19,2126,1,50d5305f30614e4367285742
Life goes on/We are young,King & Prince,0.0,6,2133,7,004c00690066004b0069006e
この空がトリガー, =LOVE,0.0,17,2129,3,3053306e7a7a0020003d004c
アタシは問題作,Ado,0.0,17,2128,2,30a230bf30b700410064006f
Twilight Cinema,EXILE THE SECOND,0.0,15,2127,1,005400770069004500580049
エンベロープ,コブクロ,0.0,6,2128,1,30a830f330d930b330d630af
Paradise,NiziU,0.0,17,2136,7,005000610072004e0069007a
リンジュー・ラブ,マカロニえんぴつ,0.0,12,2131,6,30ea30f330b830de30ab30ed
Special Kiss,なにわ男子,0.0,13,2134,25,005300700065306a306b308f
Trust・Last,倖田來未 × 湘南乃風,0.0,10,2130,2,005400720075501675304f86
yes.I.do,エレファントカシマシ,0.0,12,2129,1,00790065007330a830ec30d5
ギフト,オーイシマサヨシ,0.0,18,2130,2,30ae30d530c830aa30fc30a4
青い春のエチュード,東京スカパラダイスオーケストラfeat.長屋晴子,0.0,18,2130,2,97523044662567714eac30b9
タペストリー,Snow Man,0.0,10,2138,9,30bf30da30b90053006e006f
息をする心,STU48,0.0,16,2138,6,606f30923059005300540055
オレンジkiss,Snow Man,0.0,12,2138,2,30aa30ec30f30053006e006f
Bye-Bye-Show,BiSH,0.0,3,2131,1,004200790065004200690053
LADY,米津玄師,0.0,8,2134,4,004c004100447c736d257384
ぼくらの,Eve,0.0,8,2131,1,307c304f3089004500760065
サクラフレフレ,THE SUPER FRUIT,0.0,15,2131,1,30b530af30e9005400480045
人は夢を二度見る,乃木坂46,0.0,13,2138,8,4eba306f59224e4367285742
White Rabbit,緑黄色社会,0.0,19,2131,1,0057006800697dd19ec48272
Here I Stand,TREASURE,0.0,17,2133,2,004800650072005400520045
窓の中から,BAMP OF CHICKEN,0.0,2,2133,2,7a93306e4e2d00420041004d
セブンティーン,YOASOBI,0.0,15,2133,2,30bb30d630f30059004f0041
